"gene","chromosome","entrez_id","gene_name","mouse_homologenes"
"ADAMTS13","9",11093,"ADAM metallopeptidase with thrombospondin type 1 motif, 13","Adamts13"
"ADAMTS14","10",140766,"ADAM metallopeptidase with thrombospondin type 1 motif, 14","Adamts14"
"ADAMTS15","11",170689,"ADAM metallopeptidase with thrombospondin type 1 motif, 15","Adamts15"
"ADAMTS16","5",170690,"ADAM metallopeptidase with thrombospondin type 1 motif, 16","Adamts16"
"ADAMTS17","15",170691,"ADAM metallopeptidase with thrombospondin type 1 motif, 17","Adamts17"
"ADAMTS18","16",170692,"ADAM metallopeptidase with thrombospondin type 1 motif, 18","Adamts18"
"ADAMTS19","5",171019,"ADAM metallopeptidase with thrombospondin type 1 motif, 19","Adamts19"
"ADAMTS19-AS1","5",103689846,"ADAMTS19 antisense RNA 1",""
"ADAMTS2","5",9509,"ADAM metallopeptidase with thrombospondin type 1 motif, 2","Adamts2"
"ADAMTS20","12",80070,"ADAM metallopeptidase with thrombospondin type 1 motif, 20","Adamts20"
"ADAMTS3","4",9508,"ADAM metallopeptidase with thrombospondin type 1 motif, 3","Adamts3"
"ADAMTS4","1",9507,"ADAM metallopeptidase with thrombospondin type 1 motif, 4","Adamts4"
"ADAMTS5","21",11096,"ADAM metallopeptidase with thrombospondin type 1 motif, 5","Adamts5"
"ADAMTS6","5",11174,"ADAM metallopeptidase with thrombospondin type 1 motif, 6","Adamts6"
"ADAMTS7","15",11173,"ADAM metallopeptidase with thrombospondin type 1 motif, 7","Adamts7"
"ADAMTS7P1","15",390660,"ADAMTS7 pseudogene 1",""
"ADAMTS7P3","15",400406,"ADAMTS7 pseudogene 3",""
"ADAMTS7P4","15",642935,"ADAMTS7 pseudogene 4",""
"ADAMTS8","11",11095,"ADAM metallopeptidase with thrombospondin type 1 motif, 8","Adamts8"
"ADAMTS9","3",56999,"ADAM metallopeptidase with thrombospondin type 1 motif, 9","Adamts9"
"ADAMTS9-AS1","3",101929335,"ADAMTS9 antisense RNA 1",""
"ADAMTS9-AS2","3",100507098,"ADAMTS9 antisense RNA 2",""
"ADAMTSL1","9",92949,"ADAMTS-like 1","Adamtsl1"
"ADAMTSL2","9",9719,"ADAMTS-like 2","Adamtsl2"
"ADAMTSL3","15",57188,"ADAMTS-like 3","Adamtsl3"
"ADAMTSL4","1",54507,"ADAMTS-like 4","Adamtsl4"
"ADAMTSL4-AS1","1",574406,"ADAMTSL4 antisense RNA 1",""
"ADAMTSL5","19",339366,"ADAMTS-like 5","Adamtsl5"
"ADAP1","7",11033,"ArfGAP with dual PH domains 1","Adap1"
"ADAP2","17",55803,"ArfGAP with dual PH domains 2","Adap2"
"ADAR","1",103,"adenosine deaminase, RNA-specific","Adar"
"ADARB1","21",104,"adenosine deaminase, RNA-specific, B1","Adarb1"
"ADARB2","10",105,"adenosine deaminase, RNA-specific, B2 (non-functional)","Adarb2"
"ADARB2-AS1","10",642394,"ADARB2 antisense RNA 1",""
"ADAT1","16",23536,"adenosine deaminase, tRNA-specific 1","Adat1"
"ADAT2","6",134637,"adenosine deaminase, tRNA-specific 2","Adat2"
"ADAT3","19",113179,"adenosine deaminase, tRNA-specific 3","Adat3"
"ADCK1","14",57143,"aarF domain containing kinase 1","Adck1"
"ADCK2","7",90956,"aarF domain containing kinase 2","Adck2"
"ADCK3","1",56997,"aarF domain containing kinase 3","Adck3"
"ADCK4","19",79934,"aarF domain containing kinase 4","Adck4"
"ADCK5","8",203054,"aarF domain containing kinase 5","Adck5"
"ADCY1","7",107,"adenylate cyclase 1 (brain)","Adcy1"
"ADCY10","1",55811,"adenylate cyclase 10 (soluble)","Adcy10"
"ADCY10P1","6",221442,"adenylate cyclase 10 (soluble) pseudogene 1",""
"ADCY2","5",108,"adenylate cyclase 2 (brain)","Adcy2"
"ADCY3","2",109,"adenylate cyclase 3","Adcy3"
"ADCY4","14",196883,"adenylate cyclase 4","Adcy4"
"ADCY5","3",111,"adenylate cyclase 5","Adcy5"
"ADCY6","12",112,"adenylate cyclase 6","Adcy6"
"ADCY7","16",113,"adenylate cyclase 7","Adcy7"
"ADCY8","8",114,"adenylate cyclase 8 (brain)","Adcy8"
"ADCY9","16",115,"adenylate cyclase 9","Adcy9"
"ADCYAP1","18",116,"adenylate cyclase activating polypeptide 1 (pituitary)","Adcyap1"
"ADCYAP1R1","7",117,"adenylate cyclase activating polypeptide 1 (pituitary) receptor type I","Adcyap1r1"
"ADD1","4",118,"adducin 1 (alpha)","Add1"
"ADD2","2",119,"adducin 2 (beta)","Add2"
"ADD3","10",120,"adducin 3 (gamma)","Add3"
"ADD3-AS1","10",100505933,"ADD3 antisense RNA 1",""
"ADGB","6",79747,"androglobin","Adgb"
"ADGRA1","10",84435,"G protein-coupled receptor 123",""
"ADGRA1-AS1","10",100128127,"GPR123 antisense RNA 1",""
"ADGRA2","8",25960,"G protein-coupled receptor 124",""
"ADGRA3","4",166647,"G protein-coupled receptor 125",""
"ADGRB1","8",575,"brain-specific angiogenesis inhibitor 1",""
"ADGRB2","1",576,"brain-specific angiogenesis inhibitor 2",""
"ADGRB3","6",577,"brain-specific angiogenesis inhibitor 3",""
"ADGRD1","12",283383,"G protein-coupled receptor 133",""
"ADGRD2","9",347088,"adhesion G protein-coupled receptor D2",""
"ADGRE1","19",2015,"egf-like module containing, mucin-like, hormone receptor-like 1",""
"ADGRE2","19",30817,"egf-like module containing, mucin-like, hormone receptor-like 2",""
"ADGRE3","19",84658,"egf-like module containing, mucin-like, hormone receptor-like 3",""
"ADGRE4P","19",326342,"egf-like module containing, mucin-like, hormone receptor-like 4 pseudogene",""
"ADGRE5","19",976,"CD97 molecule",""
"ADGRF1","6",266977,"G protein-coupled receptor 110",""
"ADGRF2","6",222611,"G protein-coupled receptor 111",""
"ADGRF3","2",165082,"G protein-coupled receptor 113",""
"ADGRF4","6",221393,"G protein-coupled receptor 115",""
"ADGRF5","6",221395,"G protein-coupled receptor 116",""
"ADGRF5P1","9",389740,"G protein-coupled receptor 116 pseudogene 1",""
"ADGRF5P2","9",441416,"G protein-coupled receptor 116 pseudogene 2",""
"ADGRG1","16",9289,"G protein-coupled receptor 56",""
"ADGRG2","X",10149,"G protein-coupled receptor 64",""
"ADGRG3","16",222487,"G protein-coupled receptor 97",""
"ADGRG4","X",139378,"G protein-coupled receptor 112",""
"ADGRG5","16",221188,"G protein-coupled receptor 114",""
"ADGRG6","6",57211,"G protein-coupled receptor 126",""
"ADGRG7","3",84873,"G protein-coupled receptor 128",""
"ADGRL1","19",22859,"latrophilin 1",""
"ADGRL2","1",23266,"latrophilin 2",""
"ADGRL3","4",23284,"latrophilin 3",""
"ADGRL3-AS1","4",101927186,"LPHN3 antisense RNA 1",""
"ADGRL4","1",64123,"EGF, latrophilin and seven transmembrane domain containing 1",""
"ADGRV1","5",84059,"G protein-coupled receptor 98",""
"ADH1A","4",124,"alcohol dehydrogenase 1A (class I), alpha polypeptide",""
"ADH1B","4",125,"alcohol dehydrogenase 1B (class I), beta polypeptide",""
"ADH1C","4",126,"alcohol dehydrogenase 1C (class I), gamma polypeptide","Adh1"
"ADH4","4",127,"alcohol dehydrogenase 4 (class II), pi polypeptide","Adh4"
"ADH5","4",128,"alcohol dehydrogenase 5 (class III), chi polypeptide","Adh5"
"ADH5P2","1",343296,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 2",""
"ADH5P3","1",100131810,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 3",""
"ADH5P4","6",642443,"alcohol dehydrogenase 5 (class III), chi polypeptide, pseudogene 4",""
"ADH6","4",130,"alcohol dehydrogenase 6 (class V)",""
"ADH7","4",131,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","Adh7"
"ADHFE1","8",137872,"alcohol dehydrogenase, iron containing, 1","Adhfe1"
"ADI1","2",55256,"acireductone dioxygenase 1","Adi1"
"ADIG","20",149685,"adipogenin",""
"ADIPOQ","3",9370,"adiponectin, C1Q and collagen domain containing","Adipoq"
"ADIPOQ-AS1","3",100874095,"ADIPOQ antisense RNA 1",""
"ADIPOR1","1",51094,"adiponectin receptor 1","Adipor1"
"ADIPOR1P1","10",645220,"adiponectin receptor 1 pseudogene 1",""
"ADIPOR1P2","14",390503,"adiponectin receptor 1 pseudogene 2",""
"ADIPOR2","12",79602,"adiponectin receptor 2","Adipor2"
"ADIRF","10",10974,"adipogenesis regulatory factor",""
"ADK","10",132,"adenosine kinase","Adk"
"ADM","11",133,"adrenomedullin","Adm"
"ADM2","22",79924,"adrenomedullin 2","Adm2"
"ADM5","19",199800,"adrenomedullin 5 (putative)",""
"ADNP","20",23394,"activity-dependent neuroprotector homeobox","Adnp"
"ADNP-AS1","20",101927631,"ADNP antisense RNA 1",""
"ADNP2","18",22850,"ADNP homeobox 2","Adnp2"
"ADO","10",84890,"2-aminoethanethiol (cysteamine) dioxygenase","Ado"
"ADORA1","1",134,"adenosine A1 receptor","Adora1"
"ADORA2A","22",135,"adenosine A2a receptor","Adora2a"
"ADORA2A-AS1","22",646023,"ADORA2A antisense RNA 1",""
"ADORA2B","17",136,"adenosine A2b receptor","Adora2b"
"ADORA2BP1","1",137,"adenosine A2b receptor pseudogene 1",""
"ADORA3","1",140,"adenosine A3 receptor","Adora3"
"ADPGK","15",83440,"ADP-dependent glucokinase","Adpgk"
"ADPGK-AS1","15",100287559,"ADPGK antisense RNA 1",""
"ADPRH","3",141,"ADP-ribosylarginine hydrolase","Adprh"
"ADPRHL1","13",113622,"ADP-ribosylhydrolase like 1","Adprhl1"
"ADPRHL2","1",54936,"ADP-ribosylhydrolase like 2","Adprhl2"
"ADPRM","17",56985,"ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent","Adprm"
"ADRA1A","8",148,"adrenoceptor alpha 1A","Adra1a"
"ADRA1B","5",147,"adrenoceptor alpha 1B","Adra1b"
"ADRA1D","20",146,"adrenoceptor alpha 1D","Adra1d"
"ADRA2A","10",150,"adrenoceptor alpha 2A","Adra2a"
"ADRA2B","2",151,"adrenoceptor alpha 2B","Adra2b"
"ADRA2C","4",152,"adrenoceptor alpha 2C","Adra2c"
"ADRB1","10",153,"adrenoceptor beta 1","Adrb1"
"ADRB2","5",154,"adrenoceptor beta 2, surface","Adrb2"
"ADRB3","8",155,"adrenoceptor beta 3","Adrb3"
"ADRBK1","11",156,"adrenergic, beta, receptor kinase 1","Adrbk1"
"ADRBK2","22",157,"adrenergic, beta, receptor kinase 2","Adrbk2"
"ADRM1","20",11047,"adhesion regulating molecule 1","Adrm1"
"ADSL","22",158,"adenylosuccinate lyase","Adsl"
"ADSS","1",159,"adenylosuccinate synthase","Adss"
"ADSSL1","14",122622,"adenylosuccinate synthase like 1","Adssl1"
"ADTRP","6",84830,"androgen-dependent TFPI-regulating protein","Adtrp"
"AEBP1","7",165,"AE binding protein 1","Aebp1"
"AEBP2","12",121536,"AE binding protein 2","Aebp2"
"AEN","15",64782,"apoptosis enhancing nuclease","Aen"
"AES","19",166,"amino-terminal enhancer of split","Aes"
"AFAP1","4",60312,"actin filament associated protein 1","Afap1"
"AFAP1-AS1","4",84740,"AFAP1 antisense RNA 1",""
"AFAP1L1","5",134265,"actin filament associated protein 1-like 1","Afap1l1"
"AFAP1L2","10",84632,"actin filament associated protein 1-like 2","Afap1l2"
"AFF1","4",4299,"AF4/FMR2 family, member 1","Aff1"
"AFF2","X",2334,"AF4/FMR2 family, member 2",""
"AFF3","2",3899,"AF4/FMR2 family, member 3","Aff3"
"AFF4","5",27125,"AF4/FMR2 family, member 4","Aff4"
"AFG3L1P","16",172,"AFG3-like AAA ATPase 1, pseudogene",""
"AFG3L2","18",10939,"AFG3-like AAA ATPase 2","Afg3l2"
"AFG3L2P1","8",347028,"AFG3-like AAA ATPase 2 pseudogene 1",""
"AFM","4",173,"afamin","Afm"
"AFMID","17",125061,"arylformamidase","Afmid"
"AFP","4",174,"alpha-fetoprotein","Afp"
"AFTPH","2",54812,"aftiphilin","Aftph"
"AGA","4",175,"aspartylglucosaminidase","Aga"
"AGAP1","2",116987,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1","Agap1"
"AGAP1-IT1","2",100506749,"AGAP1 intronic transcript 1",""
"AGAP10P","10",653234,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 10 pseudogene",""
"AGAP11","10",119385,"ankyrin repeat and GTPase domain Arf GTPase activating protein 11",""
"AGAP2","12",116986,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2","Agap2"
"AGAP2-AS1","12",100130776,"AGAP2 antisense RNA 1",""
"AGAP3","7",116988,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","Agap3"
"AGAP4","10",119016,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4",""
"AGAP5","10",729092,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",""
"AGAP6","10",414189,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6",""
"AGAP7P","10",653268,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 7, pseudogene",""
"AGAP9","10",642517,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9",""
"AGBL1","15",123624,"ATP/GTP binding protein-like 1","Agbl1"
"AGBL1-AS1","15",727915,"AGBL1 antisense RNA 1",""
"AGBL2","11",79841,"ATP/GTP binding protein-like 2","Agbl2"
"AGBL3","7",340351,"ATP/GTP binding protein-like 3","Agbl3"
"AGBL4","1",84871,"ATP/GTP binding protein-like 4","Agbl4"
"AGBL4-IT1","1",100874313,"AGBL4 intronic transcript 1 (non-protein coding)",""
"AGBL5","2",60509,"ATP/GTP binding protein-like 5","Agbl5"
"AGBL5-AS1","2",100874031,"AGBL5 antisense RNA 1",""
"AGER","6",177,"advanced glycosylation end product-specific receptor","Ager"
"AGFG1","2",3267,"ArfGAP with FG repeats 1","Agfg1"
"AGFG2","7",3268,"ArfGAP with FG repeats 2","Agfg2"
"AGGF1","5",55109,"angiogenic factor with G patch and FHA domains 1","Aggf1"
"AGGF1P1","4",100132380,"angiogenic factor with G patch and FHA domains 1 pseudogene 1",""
"AGGF1P2","10",644435,"angiogenic factor with G patch and FHA domains 1 pseudogene 2",""
"AGGF1P3","3",391552,"angiogenic factor with G patch and FHA domains 1 pseudogene 3",""
"AGGF1P4","16",100129351,"angiogenic factor with G patch and FHA domains 1 pseudogene 4",""
"AGK","7",55750,"acylglycerol kinase","Agk"
"AGKP1","Y",359793,"acylglycerol kinase pseudogene 1",""
"AGL","1",178,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","Agl"
"AGMAT","1",79814,"agmatine ureohydrolase (agmatinase)","Agmat"
"AGMO","7",392636,"alkylglycerol monooxygenase","Agmo"
"AGO1","1",26523,"argonaute RISC catalytic component 1","Ago1"
"AGO2","8",27161,"argonaute RISC catalytic component 2","Ago2"
"AGO3","1",192669,"argonaute RISC catalytic component 3","Ago3"
"AGO4","1",192670,"argonaute RISC catalytic component 4","Ago4"
"AGPAT1","6",10554,"1-acylglycerol-3-phosphate O-acyltransferase 1","Agpat1"
"AGPAT2","9",10555,"1-acylglycerol-3-phosphate O-acyltransferase 2","Agpat2"
"AGPAT3","21",56894,"1-acylglycerol-3-phosphate O-acyltransferase 3","Agpat3"
"AGPAT4","6",56895,"1-acylglycerol-3-phosphate O-acyltransferase 4","Agpat4"
"AGPAT4-IT1","6",79992,"AGPAT4 intronic transcript 1 (non-protein coding)",""
"AGPAT5","8",55326,"1-acylglycerol-3-phosphate O-acyltransferase 5","Agpat5"
"AGPAT5P1","Y",646231,"1-acylglycerol-3-phosphate O-acyltransferase 5 pseudogene 1",""
"AGPAT6","8",137964,"1-acylglycerol-3-phosphate O-acyltransferase 6","Agpat6"
"AGPAT9","4",84803,"1-acylglycerol-3-phosphate O-acyltransferase 9","Agpat9"
"AGPS","2",8540,"alkylglycerone phosphate synthase","Agps"
"AGR2","7",10551,"anterior gradient 2","Agr2"
"AGR3","7",155465,"anterior gradient 3","Agr3"
"AGRN","1",375790,"agrin","Agrn"
"AGRP","16",181,"agouti related neuropeptide","Agrp"
"AGT","1",183,"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Agt"
"AGTPBP1","9",23287,"ATP/GTP binding protein 1","Agtpbp1"
"AGTR1","3",185,"angiotensin II receptor, type 1","Agtr1a"
"AGTR2","X",186,"angiotensin II receptor, type 2","Agtr2"
"AGTRAP","1",57085,"angiotensin II receptor-associated protein","Agtrap"
"AGXT","2",189,"alanine-glyoxylate aminotransferase","Agxt"
"AGXT2","5",64902,"alanine--glyoxylate aminotransferase 2","Agxt2"
"AHCTF1","1",25909,"AT hook containing transcription factor 1","Ahctf1"
"AHCTF1P1","2",285116,"AT hook containing transcription factor 1 pseudogene 1",""
"AHCY","20",191,"adenosylhomocysteinase","Ahcy"
"AHCYL1","1",10768,"adenosylhomocysteinase-like 1","Ahcyl1"
"AHCYL2","7",23382,"adenosylhomocysteinase-like 2","Ahcyl2"
"AHCYP1","10",340844,"adenosylhomocysteinase pseudogene 1",""
"AHCYP2","9",392387,"adenosylhomocysteinase pseudogene 2",""
"AHCYP3","2",402093,"adenosylhomocysteinase pseudogene 3",""
"AHCYP4","2",129560,"adenosylhomocysteinase pseudogene 4",""
"AHCYP5","2",391470,"adenosylhomocysteinase pseudogene 5",""
"AHCYP6","11",100419714,"adenosylhomocysteinase pseudogene 6",""
"AHCYP7","15",645486,"adenosylhomocysteinase pseudogene 7",""
"AHDC1","1",27245,"AT hook, DNA binding motif, containing 1","Ahdc1"
"AHI1","6",54806,"Abelson helper integration site 1","Ahi1"
"AHNAK","11",79026,"AHNAK nucleoprotein","Ahnak"
"AHNAK2","14",113146,"AHNAK nucleoprotein 2","Ahnak2"
"AHR","7",196,"aryl hydrocarbon receptor","Ahr"
"AHRR","5",57491,"aryl-hydrocarbon receptor repressor","Ahrr"
"AHSA1","14",10598,"AHA1, activator of heat shock 90kDa protein ATPase homolog 1 (yeast)","Ahsa1"
"AHSA2","2",130872,"AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)",""
"AHSG","3",197,"alpha-2-HS-glycoprotein","Ahsg"
"AHSP","16",51327,"alpha hemoglobin stabilizing protein",""
"AICDA","12",57379,"activation-induced cytidine deaminase","Aicda"
"AIDA","1",64853,"axin interactor, dorsalization associated","Aida"
"AIF1","6",199,"allograft inflammatory factor 1","Aif1"
"AIF1L","9",83543,"allograft inflammatory factor 1-like","Aif1l"
"AIFM1","X",9131,"apoptosis-inducing factor, mitochondrion-associated, 1","Aifm1"
"AIFM1P1","10",645120,"apoptosis-inducing factor, mitochondrion-associated, 1 pseudogene 1",""
"AIFM2","10",84883,"apoptosis-inducing factor, mitochondrion-associated, 2","Aifm2"
"AIFM3","22",150209,"apoptosis-inducing factor, mitochondrion-associated, 3","Aifm3"
"AIG1","6",51390,"androgen-induced 1","Aig1"
"AIM1","6",202,"absent in melanoma 1","Aim1"
"AIM1L","1",55057,"absent in melanoma 1-like","Aim1l"
"AIM2","1",9447,"absent in melanoma 2","Aim2"
"AIMP1","4",9255,"aminoacyl tRNA synthetase complex-interacting multifunctional protein 1","Aimp1"
"AIMP1P1","20",170547,"aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 1",""
"AIMP1P2","1",100873064,"aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 pseudogene 2",""
"AIMP2","7",7965,"aminoacyl tRNA synthetase complex-interacting multifunctional protein 2","Aimp2"
"AIP","11",9049,"aryl hydrocarbon receptor interacting protein","Aip"
"AIPL1","17",23746,"aryl hydrocarbon receptor interacting protein-like 1","Aipl1"
"AIRE","21",326,"autoimmune regulator","Aire"
"AIRN","6",100271873,"antisense of IGF2R non-protein coding RNA",""
"AJAP1","1",55966,"adherens junctions associated protein 1","Ajap1"
"AJUBA","14",84962,"ajuba LIM protein","Ajuba"
"AK1","9",203,"adenylate kinase 1","Ak1"
"AK2","1",204,"adenylate kinase 2","Ak2"
"AK2P1","1",266920,"adenylate kinase 2 pseudogene 1",""
"AK2P2","2",339736,"adenylate kinase 2 pseudogene 2",""
"AK3","9",50808,"adenylate kinase 3","Ak3"
"AK3P2","8",100419074,"adenylate kinase 3 pseudogene 2",""
"AK3P3","7",100419075,"adenylate kinase 3 pseudogene 3",""
"AK3P4","5",100129959,"adenylate kinase 3 pseudogene 4",""
"AK3P5","10",100288319,"adenylate kinase 3 pseudogene 5",""
"AK3P6","12",100873789,"adenylate kinase 3 pseudogene 6",""
"AK4","1",205,"adenylate kinase 4","Ak4"
"AK4P1","17",206,"adenylate kinase 4 pseudogene 1",""
"AK4P2","5",100132104,"adenylate kinase 4 pseudogene 2",""
"AK4P3","12",645619,"adenylate kinase 4 pseudogene 3",""
"AK4P4","9",100128705,"adenylate kinase 4 pseudogene 4",""
"AK4P5","6",100526416,"adenylate kinase 4 pseudogene 5",""
"AK4P6","4",649288,"adenylate kinase 4 pseudogene 6",""
"AK5","1",26289,"adenylate kinase 5","Ak5"
"AK6","5",102157402,"adenylate kinase 6","Ak6"
"AK7","14",122481,"adenylate kinase 7","Ak7"
"AK8","9",158067,"adenylate kinase 8","Ak8"
"AK9","6",221264,"adenylate kinase 9","Ak9"
"AKAP1","17",8165,"A kinase (PRKA) anchor protein 1","Akap1"
"AKAP10","17",11216,"A kinase (PRKA) anchor protein 10","Akap10"
"AKAP11","13",11215,"A kinase (PRKA) anchor protein 11","Akap11"
"AKAP12","6",9590,"A kinase (PRKA) anchor protein 12","Akap12"
"AKAP13","15",11214,"A kinase (PRKA) anchor protein 13","Akap13"
"AKAP14","X",158798,"A kinase (PRKA) anchor protein 14","Akap14"
"AKAP17A","X",8227,"A kinase (PRKA) anchor protein 17A",""
"AKAP17BP","X",139516,"A kinase (PRKA) anchor protein 17B, pseudogene",""
"AKAP2","9",11217,"A kinase (PRKA) anchor protein 2","Akap2"
"AKAP3","12",10566,"A kinase (PRKA) anchor protein 3","Akap3"
"AKAP4","X",8852,"A kinase (PRKA) anchor protein 4","Akap4"
"AKAP5","14",9495,"A kinase (PRKA) anchor protein 5","Akap5"
"AKAP6","14",9472,"A kinase (PRKA) anchor protein 6","Akap6"
"AKAP7","6",9465,"A kinase (PRKA) anchor protein 7","Akap7"
"AKAP8","19",10270,"A kinase (PRKA) anchor protein 8","Akap8"
"AKAP8L","19",26993,"A kinase (PRKA) anchor protein 8-like","Akap8l"
